İL KAYIT NO,İLÇE KAYIT NO,BELDE/ KÖY KAYIT NO,MAHALLE KAYIT NO,İL ADI,İLÇE ADI,BELEDİYE ADI,MAHALLE ADI,MEDENİ DURUM,TOPLAM,ERKEK,KADIN,yıl,BELDE/KÖY ADI
6,1130,2429,1476,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KALE,HİÇ EVLENMEDİ,1058.0,681.0,377.0,2022,
6,1130,2429,1476,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KALE,EVLİ,1397.0,752.0,645.0,2022,
6,1130,2429,1476,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KALE,BOŞANDI,470.0,322.0,148.0,2022,
6,1130,2429,1476,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KALE,EŞİ ÖLDÜ,238.0,45.0,193.0,2022,
6,1130,2429,1478,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARAPÜRÇEK,HİÇ EVLENMEDİ,15638.0,8996.0,6642.0,2022,
6,1130,2429,1478,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARAPÜRÇEK,EVLİ,41920.0,20639.0,21281.0,2022,
6,1130,2429,1478,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARAPÜRÇEK,BOŞANDI,2261.0,924.0,1337.0,2022,
6,1130,2429,1478,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARAPÜRÇEK,EŞİ ÖLDÜ,2368.0,348.0,2020.0,2022,
6,1130,2429,1483,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖNDER,HİÇ EVLENMEDİ,420.0,251.0,169.0,2022,
6,1130,2429,1483,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖNDER,EVLİ,828.0,425.0,403.0,2022,
6,1130,2429,1483,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖNDER,BOŞANDI,110.0,74.0,36.0,2022,
6,1130,2429,1483,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖNDER,EŞİ ÖLDÜ,86.0,,,2022,
6,1130,2429,1484,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖRNEK,HİÇ EVLENMEDİ,5476.0,3008.0,2468.0,2022,
6,1130,2429,1484,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖRNEK,EVLİ,7626.0,3859.0,3767.0,2022,
6,1130,2429,1484,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖRNEK,BOŞANDI,1848.0,964.0,884.0,2022,
6,1130,2429,1484,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ÖRNEK,EŞİ ÖLDÜ,1258.0,179.0,1079.0,2022,
6,1130,2429,1492,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ULUBEY,HİÇ EVLENMEDİ,1041.0,564.0,477.0,2022,
6,1130,2429,1492,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ULUBEY,EVLİ,2205.0,1138.0,1067.0,2022,
6,1130,2429,1492,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ULUBEY,BOŞANDI,279.0,169.0,110.0,2022,
6,1130,2429,1492,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ULUBEY,EŞİ ÖLDÜ,220.0,37.0,183.0,2022,
6,1130,2429,1495,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,YILDIZTEPE,HİÇ EVLENMEDİ,5880.0,3329.0,2551.0,2022,
6,1130,2429,1495,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,YILDIZTEPE,EVLİ,15318.0,7599.0,7719.0,2022,
6,1130,2429,1495,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,YILDIZTEPE,BOŞANDI,1012.0,402.0,610.0,2022,
6,1130,2429,1495,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,YILDIZTEPE,EŞİ ÖLDÜ,1168.0,173.0,995.0,2022,
6,1130,2429,1498,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ZÜBEYDE HANIM,HİÇ EVLENMEDİ,6044.0,3712.0,2332.0,2022,
6,1130,2429,1498,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ZÜBEYDE HANIM,EVLİ,6101.0,3003.0,3098.0,2022,
6,1130,2429,1498,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ZÜBEYDE HANIM,BOŞANDI,645.0,336.0,309.0,2022,
6,1130,2429,1498,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,ZÜBEYDE HANIM,EŞİ ÖLDÜ,571.0,77.0,494.0,2022,
6,1130,2429,1499,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,SOLFASOL,HİÇ EVLENMEDİ,299.0,189.0,110.0,2022,
6,1130,2429,1499,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,SOLFASOL,EVLİ,745.0,394.0,351.0,2022,
6,1130,2429,1499,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,SOLFASOL,BOŞANDI,93.0,70.0,23.0,2022,
6,1130,2429,1499,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,SOLFASOL,EŞİ ÖLDÜ,97.0,22.0,75.0,2022,
6,1130,2429,1501,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINCIK,HİÇ EVLENMEDİ,32.0,,,2022,
6,1130,2429,1501,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINCIK,EVLİ,110.0,60.0,50.0,2022,
6,1130,2429,1501,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINCIK,BOŞANDI,,,,2022,
6,1130,2429,1501,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,AYDINCIK,EŞİ ÖLDÜ,22.0,,,2022,
6,1130,2429,1502,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARACAÖREN,HİÇ EVLENMEDİ,1654.0,962.0,692.0,2022,
6,1130,2429,1502,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARACAÖREN,EVLİ,4582.0,2280.0,2302.0,2022,
6,1130,2429,1502,ANKARA,ALTINDAĞ,ALTINDAĞ BELEDİYESİ,KARACAÖREN,BOŞANDI,415.0,201.0,214.0,2022,
