No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
4_10_5,,"39.92579234025038, 32.87209774587549",8127-11-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:2, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92579234025038,32.87209774587549,ÇAMLITEPE,4
4_10_6,,"39.92564285262641, 32.87216651272579",8127/14,"Çamlıtepe, Şht. Coşkun Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92564285262641,32.87216651272579,ÇAMLITEPE,4
4_10_7,,"39.92553313733287, 32.87209448329099",8127-02-01 00:00:00,"Çamlıtepe, Kısa Sk. No:4, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92553313733287,32.87209448329099,ÇAMLITEPE,4
4_10_8,,"39.925421568053906, 32.871744559352486",8127/15,"Çamlıtepe, Kısa Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925421568053906,32.871744559352486,ÇAMLITEPE,4
4_10_9,,"39.925190367316, 32.871579039494144",8126/17,"Çamlıtepe, Kısa Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925190367316,32.871579039494144,ÇAMLITEPE,4
4_10_10,,"39.925300478024624, 32.87194735917714",8126/16,"Çamlıtepe, Kısa Sk. No:7, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925300478024624,32.87194735917714,ÇAMLITEPE,4
4_10_11,,"39.925356730166115, 32.87214868646149",8126/15,"Çamlıtepe, Kısa Sk. No:5, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925356730166115,32.87214868646149,ÇAMLITEPE,4
4_10_12,,"39.92533159623627, 32.87224388773549",8126/13,"Çamlıtepe, Kısa Sk. No:3, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92533159623627,32.87224388773549,ÇAMLITEPE,4
4_10_13,,"39.92537707667368, 32.87236249915883",8126-01-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92537707667368,32.87236249915883,ÇAMLITEPE,4
4_10_14,,"39.92516523332473, 32.872331285626366",8126-02-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92516523332473,32.872331285626366,ÇAMLITEPE,4
4_10_15,,"39.92514847732565, 32.872189264053695",8126-03-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:31, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92514847732565,32.872189264053695,ÇAMLITEPE,4
4_10_16,,"39.92506456816119, 32.872153792502175",8126-04-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:29, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92506456816119,32.872153792502175,ÇAMLITEPE,4
4_10_17,,"39.925012782070006, 32.8719823949347",8126-05-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925012782070006,32.8719823949347,ÇAMLITEPE,4
4_10_18,,"39.924994482076606, 32.871811745859425",8126-06-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:25, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.924994482076606,32.871811745859425,ÇAMLITEPE,4
4_10_19,,"39.92604639401116, 32.87245495133678",8125-07-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:82, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92604639401116,32.87245495133678,ÇAMLITEPE,4
4_10_20,,"39.92622129374568, 32.87268302019109",8125-08-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:84, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92622129374568,32.87268302019109,ÇAMLITEPE,4
4_10_21,,"39.92624067584462, 32.87267518417568",8125-09-01 00:00:00,"Çamlıtepe, Dede Efendi Cd. No:86, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92624067584462,32.87267518417568,ÇAMLITEPE,4
4_10_22,,"39.92632068324405, 32.87278517352754",8125-10-01 00:00:00,"Çamlıtepe, Erdem Cd. No:32, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.92632068324405,32.87278517352754,ÇAMLITEPE,4
4_10_23,,"39.92614083145602, 32.87296497729468",8125-11-01 00:00:00,"Çamlıtepe, Erdem Cd. No:34, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92614083145602,32.87296497729468,ÇAMLITEPE,4
4_10_24,,"39.92603092179738, 32.8730001562926",8125-12-01 00:00:00,"Çamlıtepe, Erdem Cd. No:36, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92603092179738,32.8730001562926,ÇAMLITEPE,4
4_10_25,,"39.92587760944154, 32.87315987900905",8125/13,"Çamlıtepe, Tevekküller Sk. No:45, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.92587760944154,32.87315987900905,ÇAMLITEPE,4
4_10_26,,"39.925690066458365, 32.873261325619715",8125/23,"Çamlıtepe, Tevekküller Sk. No:43, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.925690066458365,32.873261325619715,ÇAMLITEPE,4
4_10_27,,"39.92550699983462, 32.87304674890716",8125/22,"Çamlıtepe, Tevekküller Sk. No:41, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92550699983462,32.87304674890716,ÇAMLITEPE,4
4_10_28,Özel Prof. Dr. Necmettin Erbakan Kız Öğrenci Yurdu,"39.92519968200261, 32.87305575200676",8125-01-01 00:00:00,"Çamlıtepe, Tevekküller Sk. No:37, 06590 Çankaya/Ankara",Yurt,4.0,Değil,,,,,,39.92519968200261,32.87305575200676,ÇAMLITEPE,4
4_10_29,,"39.92525451116482, 32.87279138144158",8125/21,"Çamlıtepe, Şht. Coşkun Sk. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92525451116482,32.87279138144158,ÇAMLITEPE,4
4_10_30,,"39.92536768194203, 32.87269419493472",8125-03-01 00:00:00,"Çamlıtepe, Şht. Coşkun Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92536768194203,32.87269419493472,ÇAMLITEPE,4
