No,Yapı,Koordinat,Ada/Parsel,Adres,İşlev,Kat Sayısı,Tescil Bilgisi,Yapım Yılı,Mimarı,Değişmişlik Durumu,Foto,Açıklama,lat,lon,Mahalle,bölge
5-3-32,,"39.931105172475895, 32.8702124510205",1551/12,"Erzurum, Dumlupınar Cd. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.931105172475895,32.8702124510205,ERZURUM,5
5-3-33,,"39.930978529328634, 32.8706182332527",1551/11,"Erzurum, Eceabat Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.930978529328634,32.8706182332527,ERZURUM,5
5-3-34,Cebeci Halk Kütüphanesi,"39.93091682389352, 32.87093473378866",1551/10,"Erzurum, Eceabat Sk. No:5, 06590 Çankaya/Ankara",Kütüphane,3.0,Değil,,,,,,39.93091682389352,32.87093473378866,ERZURUM,5
5-3-35,,"39.93077953739812, 32.87076374247785",1551/5,"Erzurum, Eceabat Sk. No:7, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93077953739812,32.87076374247785,ERZURUM,5
5-3-36,,"39.93071551622101, 32.87103300000346",1551/4,"Erzurum, Eceabat Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93071551622101,32.87103300000346,ERZURUM,5
5-3-4,,"39.929985962995715, 32.87005700027491",1529/1,"Erzurum, Gül Sk. 2-6, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.929985962995715,32.87005700027491,ERZURUM,5
5-3-5,,"39.93000514729871, 32.86984313495601",1529/8,"Erzurum, Dumlupınar Cad./gül Sok. 4/D, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93000514729871,32.86984313495601,ERZURUM,5
5-3-6,,"39.93009427218952, 32.86947417050722",1529/7,"Erzurum, Gül Sk. No:2, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93009427218952,32.86947417050722,ERZURUM,5
5-3-7,,"39.92999126060185, 32.86922021817553",1529/9,"Erzurum, Dumlupınar Cd. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92999126060185,32.86922021817553,ERZURUM,5
5-3-8,,"39.929753554986625, 32.86894837319512",1529/4,"Cebeci, Dumlupınar Cd. No:6, 06590 Çankaya/Ankara",Konut + Ticaret,2.0,,,,,kesin vardır bi olayı,,39.929753554986625,32.86894837319512,CEBECİ,5
5-3-9,,"39.92963521534751, 32.86885873028224",1529/4,"Erzurum, Dumlupınar Cd., 06590 Çankaya/Ankara",Konut,1.0,Değil,,,,,,39.92963521534751,32.86885873028224,ERZURUM,5
5-4-1,,"39.933286926302785, 32.874528065386066",2746/5,"Erzurum, Yeni Ankara Sk. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.933286926302785,32.874528065386066,ERZURUM,5
5-4-10,,"39.93332300349777, 32.8736661839966",2746/10,"Erzurum, Soysal Sk. No:10, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93332300349777,32.8736661839966,ERZURUM,5
5-4-11,,"39.93331467690443, 32.87379839734646",2746/11,"Erzurum, Soysal Sk. No:12, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93331467690443,32.87379839734646,ERZURUM,5
5-4-12,,"39.93330077600161, 32.873967072879104",2746/12,"Erzurum, Soysal Sk. No:14, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.93330077600161,32.873967072879104,ERZURUM,5
5-4-13,,"39.9332790604669, 32.87413075083132",2746/13,"Erzurum, Soysal Sk. No:16, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.9332790604669,32.87413075083132,ERZURUM,5
5-4-14,,"39.933328060797486, 32.87427305991132",2746/14,"Erzurum, Soysal Sk. No:18, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.933328060797486,32.87427305991132,ERZURUM,5
5-4-15,,"39.93331313019762, 32.87452757736952",2746/15,"Erzurum, Soysal Sk. No:20, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93331313019762,32.87452757736952,ERZURUM,5
5-4-16,,"39.933316960637505, 32.87460506425296",2746/16,"Erzurum, Soysal Sk. No:22, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.933316960637505,32.87460506425296,ERZURUM,5
5-4-17,,"39.933345474036564, 32.87488628208227",2746/17,"Erzurum, Soysal Sk. No:24, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.933345474036564,32.87488628208227,ERZURUM,5
5-4-18,,"39.933359703762314, 32.87511618636581",2746/18,"Erzurum, Soysal Sk. No:26, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.933359703762314,32.87511618636581,ERZURUM,5
5-4-19,,"39.933665152093766, 32.8726798874789",2747/41,"Erzurum, Soysal Sk. No:1, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.933665152093766,32.8726798874789,ERZURUM,5
5-4-2,,"39.93306487588675, 32.87381660636025",2746/4,"Erzurum, Yeni Ankara Sk. No:9, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93306487588675,32.87381660636025,ERZURUM,5
5-4-20,,"39.93386529296052, 32.87350138659333",2747/43,"Erzurum, Soysal Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.93386529296052,32.87350138659333,ERZURUM,5
5-4-21,,"39.933650930448856, 32.87299999169227",2747/16,"Erzurum, Soysal Sk. No:5, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.933650930448856,32.87299999169227,ERZURUM,5
5-4-22,,"39.933680300644355, 32.873175335522525",2747/15,"Erzurum, Soysal Sk. No:7, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.933680300644355,32.873175335522525,ERZURUM,5
5-4-23,,"39.933663733987025, 32.87325810213116",2747/14,"Erzurum, Soysal Sk. No:9, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.933663733987025,32.87325810213116,ERZURUM,5
5-4-24,,"39.93370474701787, 32.873477210853636",2747/13,"Erzurum, Soysal Sk. No:11, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93370474701787,32.873477210853636,ERZURUM,5
5-4-25,,"39.93370873388355, 32.87349619540604",2747/12,"Erzurum, Soysal Sk. No:13, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93370873388355,32.87349619540604,ERZURUM,5
5-4-26,,"39.93371701707287, 32.87372611091569",2747/11,"Erzurum, Soysal Sk. No:15, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93371701707287,32.87372611091569,ERZURUM,5
5-4-27,,"39.93367952731272, 32.87393062888441",2747/50,"Erzurum, Soysal Sk. No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93367952731272,32.87393062888441,ERZURUM,5
5-4-28,,"39.93371714672218, 32.87417689069468",2747/8,"Erzurum, Soysal Sk. No:21, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.93371714672218,32.87417689069468,ERZURUM,5
5-4-29,,"39.93367945786582, 32.87408601143873",2747/7,"Erzurum, Soysal Sk. No:23, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93367945786582,32.87408601143873,ERZURUM,5
5-4-3,,"39.93304992410608, 32.87395049786948",2746/20,"Erzurum, Yeni Ankara Sk. No:11, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.93304992410608,32.87395049786948,ERZURUM,5
5-4-30,,"39.93374870110425, 32.87413227584801",2747/6,"Erzurum, Soysal Sk. No:25, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93374870110425,32.87413227584801,ERZURUM,5
5-4-31,,"39.93374113113627, 32.87427900030569",2747/5,"Erzurum, Soysal Sk. No:27, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93374113113627,32.87427900030569,ERZURUM,5
5-4-32,İltekin İlkokulu,"39.93385202545049, 32.87502161622841",2747/4,"Erzurum, Soysal Sk. No:29, 06590 Çankaya/Ankara",Eğitim,2.0,Değil,,,,,,39.93385202545049,32.87502161622841,ERZURUM,5
5-4-33,,"39.933835301106605, 32.8752483647975",2747/3,"Erzurum, Soysal Sk. No:31, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.933835301106605,32.8752483647975,ERZURUM,5
5-4-35,,"39.93377118449629, 32.87546384035814",2747/2,"Erzurum, Soysal Sk. No:33, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93377118449629,32.87546384035814,ERZURUM,5
5-4-36,,"39.93383895780004, 32.87564898258652",2747/1,"Erzurum, Soysal Sk. No:35, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.93383895780004,32.87564898258652,ERZURUM,5
5-4-37,Esnaf ve Sanatkarlar Kredi ve Kefalet Kooperatifi,"39.9340386575821, 32.87597327586444",2747/52,"Erzurum, Soysal Sk. No:37, 06590 Çankaya/Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.9340386575821,32.87597327586444,ERZURUM,5
5-4-38,,"39.934266927494726, 32.875797464850066",2747/51,"Erzurum, Soysal Sk. No:39, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.934266927494726,32.875797464850066,ERZURUM,5
5-4-39,,"39.93422441414567, 32.87564641147169",2747/34,"Erzurum, Talatpaşa Blv No:164, 06590 Çankaya/Ankara",Konut + Ticaret,9.0,Değil,,,,Konut olmayabilir,,39.93422441414567,32.87564641147169,ERZURUM,5
5-4-4,,"39.93296264480451, 32.87407659797358",2746/21,"Erzurum, Yeni Ankara Sk. No:13, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.93296264480451,32.87407659797358,ERZURUM,5
5-4-40,Petrol Ofisi,"39.9344054021677, 32.87538087326223",2747/49,"Erzurum, Talatpaşa Blv No:162, 06590 Çankaya/Ankara",Ticaret,2.0,Değil,,,,,,39.9344054021677,32.87538087326223,ERZURUM,5
5-4-41,Türkiye Kamu-sen,"39.93424478419792, 32.87480738265471",2747/48,"Erzurum, Talatpaşa Blv No:160, 06590 Çankaya/Ankara",,8.0,Değil,,,,,,39.93424478419792,32.87480738265471,ERZURUM,5
5-4-42,,"39.93435460070961, 32.874321411421164",2747/29,"Erzurum, Talatpaşa Blv No:158, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.93435460070961,32.874321411421164,ERZURUM,5
5-4-43,,"39.934294887460815, 32.87415788253572",2747/28,"Erzurum, Talatpaşa Blv No:156, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.934294887460815,32.87415788253572,ERZURUM,5
5-4-44,,"39.934117887625476, 32.87400755368488",2747/27,"Erzurum, Talatpaşa Blv No:154, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.934117887625476,32.87400755368488,ERZURUM,5
5-4-45,,"39.934176187548914, 32.87371790032254",2747/26,"Erzurum, Talatpaşa Blv No:152, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.934176187548914,32.87371790032254,ERZURUM,5
5-4-46,,"39.93417324421144, 32.8734856825545",2747/25,"Erzurum, Talatpaşa Blv No:150, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.93417324421144,32.8734856825545,ERZURUM,5
5-4-47,,"39.93415552763593, 32.8732576359959",2747/24,"Erzurum, Talatpaşa Blv No:148, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.93415552763593,32.8732576359959,ERZURUM,5
5-4-48,,"39.934121257572905, 32.8729900470101",2747/23,"Erzurum, Talatpaşa Blv No:146, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.934121257572905,32.8729900470101,ERZURUM,5
5-4-49,,"39.934049662960895, 32.87271937625651",2747/22,"Erzurum, Talatpaşa Blv No:144, 06590 Çankaya/Ankara",,,,,,,,,39.934049662960895,32.87271937625651,ERZURUM,5
5-4-5,,"39.932923789725066, 32.87464795036935",2746/1,"Erzurum, Yeni Ankara Sk. No:15, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.932923789725066,32.87464795036935,ERZURUM,5
5-4-50,,"39.93402347820228, 32.872535059655924",2747/21,"Erzurum, Talatpaşa Blv No:142, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.93402347820228,32.872535059655924,ERZURUM,5
5-4-51,,"39.93388187037348, 32.87254563370407",2747/20,"Erzurum, Dumlupınar Cd. No: 38, 06600 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.93388187037348,32.87254563370407,ERZURUM,5
5-4-52,,"39.93376530255131, 32.87249909660967",2747/19,"Erzurum, Dumlupınar Cd. No: 36, 06600 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.93376530255131,32.87249909660967,ERZURUM,5
5-4-6,Otel Cebeci,"39.933296025746216, 32.872952760977256",2746/9,"Cebeci, Yeni Ankara Sk. No:1, 06590 Çankaya/Ankara",Otel,5.0,Değil,,,,,,39.933296025746216,32.872952760977256,CEBECİ,5
5-4-7,Başak Otel,"39.93324819647113, 32.87302764358812",2746/8,"Cebeci, Yeni Ankara Sk. No:3, 06590 Çankaya/Ankara",Otel,5.0,Değil,,,,,,39.93324819647113,32.87302764358812,CEBECİ,5
5-4-8,,"39.933277029487975, 32.87328092108951",2746/7,"Erzurum, Soysal Sk. No:6, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.933277029487975,32.87328092108951,ERZURUM,5
5-4-9,,"39.93329281985623, 32.87358522382193",2746/6,"Erzurum, Soysal Sk. No:8, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,Değil,,,,,,39.93329281985623,32.87358522382193,ERZURUM,5
5_5_1,Naim Süleymanoğlu Parkı,"39.92921194203665, 32.86807221032448",1557/4,"Erzurum, Dumlupınar Cd. No:24, 06590 Çankaya/Ankara",Park,,Değil,,,,,,39.92921194203665,32.86807221032448,ERZURUM,5
5_5_2,,"39.92931783209883, 32.86865506703812",1552/16,"Erzurum, Geçim Sk. No:33/A, 06010 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92931783209883,32.86865506703812,ERZURUM,5
5_5_3,,"39.92927645594271, 32.86883756371574",	1552/15,"Erzurum, Geçim Sk. No:31, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92927645594271,32.86883756371574,ERZURUM,5
5_5_4,,"39.929281655010755, 32.869063028314294",1552/14,"Erzurum, Geçim Sk. No:29, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.929281655010755,32.869063028314294,ERZURUM,5
5_5_5,,"39.92926918522751, 32.86928634319129",1552/13,"Erzurum, Geçim Sk. No:27, 06590 Çankaya/Ankara",Konut,4.0,Değil,,,,,,39.92926918522751,32.86928634319129,ERZURUM,5
5_5_6,Cebeci Erkek Yurdu,"39.92939851564383, 32.86962134319802",1552/11,"Erzurum, Geçim Sk. No:23, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,39.92939851564383,32.86962134319802,ERZURUM,5
5_5_7,Altınokta Köreler Özel Eğitim Derneği,"39.929440680321626, 32.86982787327998",1552/10,"Erzurum Mh.,Geçim Sokak No:21, 06590 Kurtuluş/Çankaya/Ankara",Ticaret + Eğitim,5.0,Değil,,,,,,39.929440680321626,32.86982787327998,ERZURUM,5
5_5_8,,"39.929498629607224, 32.86998353338995",1552/9,"Erzurum, Geçim Sk. No:19, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.929498629607224,32.86998353338995,ERZURUM,5
5_5_9,,"39.92954530535518, 32.87025031762287",1552/8,"Erzurum, Geçim Sk., No:17, 06590 Çankaya/Ankara",Konut,5.0,Değil,,,,,,39.92954530535518,32.87025031762287,ERZURUM,5
5_5_10,,"39.929639404337635, 32.87033748941071",1552/7,"Erzurum, Geçim Sk. No:15, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.929639404337635,32.87033748941071,ERZURUM,5
5_5_11,,"39.92971447775091, 32.87049305753827",1552/6,"Erzurum, Dumlupınar Cd. 13/A, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92971447775091,32.87049305753827,ERZURUM,5
5_5_12,Özel Ata Erkek Öğrenci Yurdu,"39.929740702005695, 32.8707311035743",1552/5,"Erzurum, Geçim Sk. No:11, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,39.929740702005695,32.8707311035743,ERZURUM,5
5_5_13,,"39.92996386487151, 32.87084710912602",1552/4,"Erzurum, Geçim Sk., No:9, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,Değil,,,,,,39.92996386487151,32.87084710912602,ERZURUM,5
5_5_14,Özel Başkent Erkek Yurdu,"39.92996232227562, 32.87099060731361",1552/3,"Erzurum, Geçim Sk. No:7, 06590 Çankaya/Ankara",Yurt,5.0,Değil,,,,,,39.92996232227562,32.87099060731361,ERZURUM,5
5_5_15,,"39.930130509846244, 32.87120295320509",1552/2,"Erzurum, Geçim Sk. No:5, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,39.930130509846244,32.87120295320509,ERZURUM,5
5_5_16,,"39.930222706421574, 32.87116760483421",1552/1,"Erzurum, Geçim Sk. No:3, 06590 Çankaya/Ankara",Konut + Ticaret,6.0,Değil,,,,,,39.930222706421574,32.87116760483421,ERZURUM,5
5_5_17,,"39.93008560509517, 32.87157269977614",1552/18,"Erzurum, Eceabat Sk. No:14, 06590 Çankaya/Ankara",Konut,6.0,Değil,,,,,,39.93008560509517,32.87157269977614,ERZURUM,5
5_5_18,Cebeci Pazarı Çocuk Parkı,"39.93057271393861, 32.871373152714895",2632-01-01 00:00:00,"Erzurum, Geçit Sk. No:10, 06590 Çankaya/Ankara",Park,,Değil,,,,,,39.93057271393861,32.871373152714895,ERZURUM,5
5_5_19,Cebeci Pazarı,"39.93057271393861, 32.871373152714895",2632-01-01 00:00:00,"Erzurum, Geçit Sk. No:10, 06590 Çankaya/Ankara",Pazar yeri,,Değil,,,,,,39.93057271393861,32.871373152714895,ERZURUM,5
5_5_20,,"39.929361504319644, 32.8713609780172",982/32,"Fakülteler, Cebeci, Cemal Gürsel Cad. no:35, 06590 Çankaya/Ankara",Ticaret,1.0,Değil,,,,,,39.929361504319644,32.8713609780172,FAKÜLTELER,5
5_5_21,İnci Özel Kız Öğrenci Yurdu,"39.92948775825713, 32.87172637600841",4983-12-01 00:00:00,"Fakülteler, Cebeci, Cemal Gürsel Cad. 37, 06590 Çankaya/Ankara",Yurt+ Ticaret,8.0,Değil,,,,,,39.92948775825713,32.87172637600841,FAKÜLTELER,5
5_5_22,,"39.92952635080263, 32.87187219546777",4983-11-01 00:00:00,"Cebeci Mah, Cemal Gürsel Cad. No: 39, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.92952635080263,32.87187219546777,CEBECİ,5
5_5_23,,"39.92955900601646, 32.8721225403803",4983-10-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. 41, 06590 Çankaya/Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.92955900601646,32.8721225403803,FAKÜLTELER,5
5_5_24,,"39.929620737593716, 32.872174301847835",4983-09-01 00:00:00,"Fakülteler, Cebeci, Cemal Gürsel Cad. No:43, 06590 Çankaya/Ankara",Konut + Ticaret,7.0,Değil,,,,,,39.929620737593716,32.872174301847835,FAKÜLTELER,5
5_5_25,Nar Özel Kız Öğrenci Yurdu,"39.9296833953127, 32.87239409316671",4983-08-01 00:00:00,"Fakülteler, 06590 Cemal Gürsel Cad. No:45, Çankaya/Ankara",Yurt+ Ticaret,7.0,Değil,,,,,,39.9296833953127,32.87239409316671,FAKÜLTELER,5
5_5_26,,"39.92973149701374, 32.87247043023893",4983-07-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:47, 06000 Çankaya/Ankara",Ticaret,3.0,Değil,,,,,,39.92973149701374,32.87247043023893,FAKÜLTELER,5
5_5_27,,"39.9298569406793, 32.87275468882067",4983-06-01 00:00:00,"Fakülteler, Cebeci, Cemal Gürsel Cad. 49, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.9298569406793,32.87275468882067,FAKÜLTELER,5
5_5_28,,"39.9299973171657, 32.87294177290685",4983/17,"Fakülteler, Cemal Gürsel Cad. No:51, 06590 Çankaya/Ankara",Konut + Ticaret,8.0,Değil,,,,,,39.9299973171657,32.87294177290685,FAKÜLTELER,5
5_5_29,,"39.93005285064176, 32.8731912183358",4983-03-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:55, 06590 Çankaya/Ankara",Konut + Ticaret,9.0,Değil,,,,,,39.93005285064176,32.8731912183358,FAKÜLTELER,5
5_5_30,,"39.93035035364699, 32.87304356433891",4983-02-01 00:00:00,"Fakülteler, Geçit Sk. 18, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,,,,,,,39.93035035364699,32.87304356433891,FAKÜLTELER,5
5_5_31,,"39.930372664156465, 32.87281080714221",2631-02-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. Geçit, Sok No:16, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,,,,,,,39.930372664156465,32.87281080714221,FAKÜLTELER,5
5_5_32,,"39.930271749549526, 32.87263197376744",4983/16,"Fakülteler, Coşkunlar Sk. No:18, 06590 Çankaya/Ankara",Konut,4.0,,,,,,,39.930271749549526,32.87263197376744,FAKÜLTELER,5
5_5_33,,"39.93014391240634, 32.87254375246673",4983/15,"Fakülteler, Coşkunlar Sk. No:16, 06590 Çankaya/Ankara",Konut,4.0,,,,,,,39.93014391240634,32.87254375246673,FAKÜLTELER,5
5_5_34,,"39.930054884029516, 32.87245276168777",4983/14,"Fakülteler, Coşkunlar Sk. No:14, 06590 Çankaya/Ankara",Konut,4.0,,,,,,,39.930054884029516,32.87245276168777,FAKÜLTELER,5
5_5_35,,"39.92995408748661, 32.872319524864025",4983/13,"Fakülteler, Coşkunlar Sk. No:12, 06590 Çankaya/Ankara",Konut,4.0,,,,,,,39.92995408748661,32.872319524864025,FAKÜLTELER,5
5_6_1,,"39.93021423483335, 32.87368517036329",983/42,"Keskin Sok, No:2, 06590 Çankaya/ Ankara",Konut + Ticaret,8.0,,,,,,,39.93021423483335,32.87368517036329,CEBECİ,5
5_6_2,,"39.930371027324355, 32.87376183346146",2630/15,"Fakülteler, Cemal Gürsel Cad. 59, 06590 Çankaya/Ankara",Konut + Ticaret,4.0,,,,,,dönem yapısı,39.930371027324355,32.87376183346146,FAKÜLTELER,5
5_6_3,,"39.93045175851388, 32.8738867242822",2630/14,"Fakülteler, Cemal Gürsel Cad. No:61, 06001 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93045175851388,32.8738867242822,FAKÜLTELER,5
5_6_4,,"39.93051894891498, 32.874145460574745",2630/13,"Fakülteler, Cemal Gürsel Cad. No:63, 06001 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93051894891498,32.874145460574745,FAKÜLTELER,5
5_6_5,,"39.93056162084671, 32.8742065186326",2630-12-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:63/A, 06001 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93056162084671,32.8742065186326,FAKÜLTELER,5
5_6_6,Angora Kız Öğrenci Yurdu,"39.9306078096413, 32.87424792364277",2630-11-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:67, 06001 Çankaya/Ankara",Ticaret + Yurt,9.0,,,,,,,39.9306078096413,32.87424792364277,FAKÜLTELER,5
5_6_7,,"39.93061665023481, 32.87418259832116",2630-10-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:69, 06001 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93061665023481,32.87418259832116,FAKÜLTELER,5
5_6_8,Cebeci Kız öğrenci Yurdu ve Müdürlüğ,"39.93082221204023, 32.87459915820378",2630-09-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:73, 06590 Çankaya/Ankara",Yurt,8.0,,,,,,,39.93082221204023,32.87459915820378,FAKÜLTELER,5
5_6_9,,"39.93080628618439, 32.87466130128746",2630-08-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:73/B, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93080628618439,32.87466130128746,FAKÜLTELER,5
5_6_10,,"39.930914981462195, 32.87474950757666",2630-07-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:75, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.930914981462195,32.87474950757666,FAKÜLTELER,5
5_6_11,,"39.93103273446854, 32.87490293323724",2630-06-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:77, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93103273446854,32.87490293323724,FAKÜLTELER,5
5_6_12,Ziraat Bankası,"39.93108843187183, 32.87505008703597",2630-05-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:79, 06400 Çankaya/Ankara",Banka,8.0,,,,,,,39.93108843187183,32.87505008703597,FAKÜLTELER,5
5_6_13,,"39.93114349640838, 32.875201555673165",2630-05-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:81, 06400 Çankaya/Ankara",Ticaret + Eğitim,8.0,,,,,,,39.93114349640838,32.875201555673165,FAKÜLTELER,5
5_6_14,," 39.931349686466575, 32.87544630724299",2630-04-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:83, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.931349686466575,32.87544630724299,FAKÜLTELER,5
5_6_15,,"39.93135334558532, 32.875420930533124",2630-03-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:85, 06400 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93135334558532,32.875420930533124,FAKÜLTELER,5
5_6_16,,"39.931492980861314, 32.875692523631635",2630-02-01 00:00:00,"Fakülteler, Cemal Gürsel Cad. No:87, 06400 Çankaya/Ankara",Konut + Ticaret,9.0,,,,,,,39.931492980861314,32.875692523631635,FAKÜLTELER,5
5_6_17,,"39.93161765899186, 32.87596375121699",2630/28,"Cebeci, Yeni Ankara Sok. No:23 06590 Çankaya/Ankara",Konut + Ticaret,8.0,,,,,,,39.93161765899186,32.87596375121699,CEBECİ,5
5_6_18,,"39.93168701724793, 32.87549764122277",2630/26,"Fakülteler, Yeni Ankara Sk. No:14, 06590 Çankaya/Ankara",Ticaret,2.0,,,,,,,39.93168701724793,32.87549764122277,FAKÜLTELER,5
5_6_19,,"39.93187366664277, 32.875442655931955",2630/25,"Fakülteler, Yeni Ankara Sk. No: 14 C, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,,,,,,,39.93187366664277,32.875442655931955,FAKÜLTELER,5
5_6_20,,"39.93175827187907, 32.87524294047012",983/27,"Fakülteler, Keskin Sk. No:34, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,,,,,,,39.93175827187907,32.87524294047012,FAKÜLTELER,5
5_6_21,,"39.93165850382894, 32.875092252435444",2630/23,"Fakülteler, Keskin Sk. No:30, 06590 Çankaya/Ankara",Konut + Ticaret,5.0,,,,,,,39.93165850382894,32.875092252435444,FAKÜLTELER,5
